,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
30613,ph,union,9.756667,126.11027800000001,38.91,48,90,5.73
29420,ph,panubigan,7.4281,123.3466,79.37,100,36,1.59
6702,co,caracoli,6.409196,-74.757153,67.22,91,76,2.04
42728,us,orange,41.2783333,-73.0261111,71.8,8,1,11.41
644,at,kirchbichl,47.516667,12.083333,28.4,79,75,12.75
27541,ph,buenlag,15.9602,120.4017,82.4,83,40,4.7
5280,ch,bagnes,46.083333,7.216667,25.29,74,75,1.12
41925,ua,zhurivka,50.502756,31.784917,39.2,93,90,6.71
28484,ph,kumalarang,7.7478,123.1445,80.67,99,80,1.14
33433,ro,luica,44.233333,26.583333000000003,31.1,79,0,8.05
41808,ua,uhryniv,48.955196,24.692923999999998,34.59,80,0,14.56
7888,cz,cheb,50.075777,12.374676,34.66,93,90,10.29
9579,de,sassenberg,52.0,8.05,41,86,40,11.41
8851,de,friesenheim,49.498333,8.422778,46.4,81,90,10.29
43897,us,haverhill,42.7761111,-71.07777779999999,36.28,74,90,13.67
5750,cm,doume,4.2333333,13.45,69.42,93,12,3.27
15555,hu,fenyeslitke,48.271333,22.100091,37.74,93,76,12.33
13001,gb,tillicoultry,56.15,-3.75,34.41,74,0,6.93
23056,mq,fort-de-france,14.6,-61.0833333,77,88,64,12.75
21808,jp,suzaka,36.65,138.316667,37.4,69,75,5.82
40252,th,photharam,13.692336,99.849692,82.7,80,24,4.27
11020,es,santa brigida,28.031968,-15.50425,60.8,51,0,3.36
25728,nl,weesp,52.30773,5.039749,41.47,80,40,20.8
8864,de,gaggenau,48.8,8.333333,45.77,81,92,17.22
25716,nl,voerendaal,50.879763,5.934949,39.72,93,88,11.41
43215,us,buffalo grove,42.15138889999999,-87.9597222,22.01,48,1,12.75
5259,ch,aarau,47.389616,8.052354,36.93,100,92,4.7
10079,dk,nexo,55.058981,15.132814999999999,44.6,87,92,24.16
6598,co,anzoategui,4.629963,-75.09539000000001,73.4,100,75,3.36
20480,it,gravina in puglia,40.816666999999995,16.416667,36.61,86,0,8.05
20357,it,corciano,43.133333,12.283333,40.26,100,44,8.52
23520,mx,capula,19.7,-101.8,66.2,68,5,3.27
3803,br,rio casca,-20.216667,-42.65,66.32,95,92,5.17
44535,us,guttenberg,40.7919444,-74.0041667,39.67,41,90,8.86
34985,rs,ruma,45.008055999999996,19.822222,32.94,100,0,3.36
29496,ph,pila,14.2325,121.3648,39.32,97,92,18.48
21404,jp,iwakura,35.283333,136.866667,44.6,87,75,8.05
2854,br,encantado,-29.25,-51.883333,64.83,98,0,1.92
37430,ru,oksovskiy,62.60623399999999,39.898447,13.08,83,64,2.82
33605,ro,mociu,46.8,24.033333,25.74,85,90,2.48
24838,mx,venustiano carranza,25.35,-102.95,64.87,45,40,6.93
23862,mx,huatulco,15.843611,-96.326667,80.6,100,5,8.19
31292,pl,pszczyna,49.976483,18.947323,35.58,69,0,16.11
39921,sv,el paisnal,13.973611100000001,-89.21861109999999,78.39,83,75,2.24
2296,br,almeirim,-1.533333,-52.566667,81.48,76,0,5.39
30610,ph,union,11.7612,121.8963,38.91,48,90,5.73
22992,mm,kyaikkami,16.08,97.5675,85.62,76,0,3.83
6381,cn,weifang,36.71,119.10194399999999,37.29,33,0,9.98
10395,ec,valdez,1.2491667,-78.9830556,77.88,98,68,8.63
30263,ph,sula,15.457251999999999,120.395532,82.4,83,40,4.7
29836,ph,san isidro,8.486388999999999,125.971667,60.24,68,68,2.15
44697,us,babylon,40.695555600000006,-73.32611109999999,40.12,48,90,8.05
6215,cn,nanchang,28.55,115.933333,48.36,72,0,13.78
9193,de,leinfelden-echterdingen,48.7,9.15,44.6,81,75,14.99
17788,in,gulaothi,28.6,77.783333,50,57,0,4.7
11213,fi,espoo,60.216667,24.666667,39.2,100,90,12.75
44513,us,east brunswick,40.4277778,-74.41638890000002,37.29,48,90,7.18
37839,ru,pyatnitskoye,50.4233,37.8273,17.94,81,36,2.93
32134,ro,apostolache,45.133333,26.266666999999998,30.2,92,0,6.93
6198,cn,meihekou,42.527221999999995,125.675278,13.8,61,48,8.97
18630,in,mirganj,28.55,79.2,55.02,91,0,5.73
28970,ph,mambog,15.3137,120.0304,79.7,83,40,4.7
31241,pl,nowy tomysl,52.316477,16.133629,41.86,75,90,11.41
5744,cm,bogo,10.736111099999999,14.610833300000001,84.45,97,8,2.15
10108,dk,rodby,54.694952,11.38885,44.18,96,0,22.62
37161,ru,navoloki,57.46571899999999,41.963443,15.24,85,56,7.07
34188,ro,scheia,46.933333000000005,27.516666999999998,37.4,59,0,14.99
4390,by,orsha,54.51527779999999,30.4052778,31.62,90,92,9.75
12071,fr,sete,43.406283,3.6930410000000005,42.8,87,68,2.24
9549,de,rotenburg,50.983333,9.716667,42.37,86,75,11.41
31211,pl,miedzyrzecz,52.447891000000006,15.581651999999998,42.8,75,90,11.41
41637,ua,preobrazhenka,47.571938,35.816666,33.8,100,75,2.24
9735,de,troisdorf,50.816666999999995,7.1666669999999995,42.8,87,75,14.99
6179,cn,lubu,23.174221,112.28093600000001,58.22,63,0,7.85
30550,ph,tubay,9.166944,125.52388899999998,84.5,87,0,6.29
22741,md,comrat,46.300278000000006,28.657221999999997,27.08,75,0,3.49
5849,cn,bijie,27.3125,105.29416699999999,37.74,100,92,3.71
38237,ru,sokur,55.2092,83.2223,21.2,85,90,4.47
41775,ua,synevyr,48.487448,23.62575,33.06,94,80,6.4
8093,cz,lovosice,50.514231,14.052128,40.96,56,20,17.22
4435,ca,atikokan,48.75,-91.616667,13.44,78,48,6.62
3161,br,iuna,-20.35,-41.533333,65.73,95,88,3.71
45090,us,pickerington,39.8841667,-82.75361109999999,23.79,62,90,6.93
44248,us,meridian,32.3641667,-88.70361109999999,27.19,100,0,2.93
14335,gr,varnavas,38.216666700000005,23.9166667,39.2,80,20,4.38
10099,dk,padborg,54.826572,9.362473,41.59,81,20,10.29
39208,ru,zavetnoye,44.7492,41.5995,26.49,76,56,13.67
23903,mx,iramuco,19.95,-100.916667,49.71,86,0,3.15
83,al,corovode,40.5041667,20.227222199999996,20.15,72,0,1.25
